source,target
Universe,Solar system
Solar system,Mercury
Solar system,Venus
Solar system,Earth
Solar system,Mars
Solar system,Asteroid belt
Solar system,Jupiter
Solar system,Saturn
Solar system,Uranus
Solar system,Neptune
Solar system,Pluto
Earth,Afghanistan
Earth,Albania
Earth,Algeria
Earth,American Samoa
Earth,Andorra
Earth,Angola
Earth,Anguilla
Earth,Antarctica
Earth,Antigua and Barbuda
Earth,Argentina
Earth,Armenia
Earth,Aruba
Earth,Australia
Earth,Austra
Earth,Azerbaijan
Earth,Bahamas
Earth,Bahrain
Earth,Bangladesh
Earth,Barbados
Earth,Belarus
Earth,Belgium
Earth,Belize
Earth,Benin
Earth,Bermuda
Earth,Bhutan
Earth,Bolivia
Earth,Bosnia and Herzegovina
Earth,Botswana
Earth,Brazil
Earth,Brunei Darussalam
Earth,Bulgaria
Earth,Burkina Faso
Earth,Burundi
Earth,Cambodia
Earth,Cameroon
Earth,Canada
Earth,Cape Verde
Earth,Cayman Islands
Earth,Central African Republic
Earth,Chad
Earth,Chile
Earth,China
Earth,Christmas Island
Earth,Cocos Islands
Earth,Columbia
Earth,Comoros
Earth,Democratic Republic of the Congo
Earth,Congo Republic
Earth,Cook Islands
Earth,Costa Rica
Earth,Ivory Coast
Earth,Croatia
Earth,Cuba
Earth,Cyprus
Earth,Czech Republic
Earth,Denmark
Earth,Djibouti
Earth,Dominica
Earth,Dominion Republic
Earth,East Timor
Earth,Ecuador
Earth,Egypt
Earth,El Savador
Earth,Equatorial Guinea
Earth,Eritrea
Earth,Estonia
Earth,Ethiopia
Earth,Falkland Islands
Earth,Faroe Islands
Earth,Fiji
Earth,Finland
Earth,France
Earth,French Guiana
Earth,French Polynesia
Earth,Gabon
Earth,Gambia
Earth,Georgia
Earth,Germany
Earth,Ghana
Earth,Gibraltar
Earth,Great Britain
Earth,Greece
Earth,Greenland
Earth,Grenada
Earth,Guadeloupe
Earth,Guam
Earth,Guatemala
Earth,Guinea
Earth,Guinea-Bissau
Earth,Guyana
Earth,Haiti
Earth,Honduras
Earth,Hong Kong
Earth,Hungary
Earth,Iceland
Earth,India
Earth,Indonesia
Earth,Iran
Earth,Iraq
Earth,Ireland
Earth,Israel
Earth,Italy
Earth,Jamaica
Earth,Japan
Earth,Jordan
Earth,Kazakhstan
Earth,Kenya
Earth,Kiribati
Earth,North Korea
Earth,South Korea
Earth,Kosovo
Earth,Kuwait
Earth,Kyrgyzstan
Earth,Lao
Earth,Lativa
Earth,Lebanon
